#Parameters = {R_source=50; R_load=0.1; a_Pinet_sonet_L_nuH=0.355; a_Pinet_sonet_C1_nF=71.852; fmin=0.8; fmax=1.2; a_Pinet_sonet_C2_nF=355; tpr_height=0.03; tpr_substrate_height=525}
#"Frequency / MHz"	"Spi_sonet,pi_sonet (a_Pinet_sonet_C1_nF=71.852) [Magnitude]"
#-------------------------------------------------------------------------------
0.80816000000000	0.96925581922592
0.80820000000000	0.96924499373947
0.80824000000000	0.96923416205263
0.80828000000000	0.96922332416065
0.80832000000000	0.96921248005879
0.80836000000000	0.96920162974231
0.80840000000000	0.96919077320646
0.80844000000000	0.96917991044648
0.80848000000000	0.96916904145761
0.80852000000000	0.96915816623509
0.80856000000000	0.96914728477415
0.80860000000000	0.96913639707001
0.80864000000000	0.96912550311791
0.80868000000000	0.96911460291305
0.80872000000000	0.96910369645065
0.80876000000000	0.96909278372593
0.80880000000000	0.96908186473407
0.80884000000000	0.96907093947029
0.80888000000000	0.96906000792977
0.80892000000000	0.96904907010772
0.80896000000000	0.96903812599931
0.80900000000000	0.96902717559972
0.80904000000000	0.96901621890414
0.80908000000000	0.96900525590773
0.80912000000000	0.96899428660566
0.80916000000000	0.96898331099310
0.80920000000000	0.96897232906520
0.80924000000000	0.96896134081712
0.80928000000000	0.96895034624401
0.80932000000000	0.96893934534100
0.80936000000000	0.96892833810325
0.80940000000000	0.96891732452588
0.80944000000000	0.96890630460403
0.80948000000000	0.96889527833282
0.80952000000000	0.96888424570738
0.80956000000000	0.96887320672282
0.80960000000000	0.96886216137424
0.80964000000000	0.96885110965677
0.80968000000000	0.96884005156550
0.80972000000000	0.96882898709553
0.80976000000000	0.96881791624196
0.80980000000000	0.96880683899987
0.80984000000000	0.96879575536434
0.80988000000000	0.96878466533046
0.80992000000000	0.96877356889329
0.80996000000000	0.96876246604792
0.81000000000000	0.96875135678940
0.81004000000000	0.96874024111280
0.81008000000000	0.96872911901317
0.81012000000000	0.96871799048556
0.81016000000000	0.96870685552502
0.81020000000000	0.96869571412659
0.81024000000000	0.96868456628530
0.81028000000000	0.96867341199619
0.81032000000000	0.96866225125429
0.81036000000000	0.96865108405461
0.81040000000000	0.96863991039218
0.81044000000000	0.96862873026201
0.81048000000000	0.96861754365910
0.81052000000000	0.96860635057847
0.81056000000000	0.96859515101510
0.81060000000000	0.96858394496399
0.81064000000000	0.96857273242014
0.81068000000000	0.96856151337851
0.81072000000000	0.96855028783411
0.81076000000000	0.96853905578189
0.81080000000000	0.96852781721683
0.81084000000000	0.96851657213390
0.81088000000000	0.96850532052805
0.81092000000000	0.96849406239423
0.81096000000000	0.96848279772741
0.81100000000000	0.96847152652252
0.81104000000000	0.96846024877450
0.81108000000000	0.96844896447830
0.81112000000000	0.96843767362884
0.81116000000000	0.96842637622105
0.81120000000000	0.96841507224984
0.81124000000000	0.96840376171014
0.81128000000000	0.96839244459686
0.81132000000000	0.96838112090490
0.81136000000000	0.96836979062917
0.81140000000000	0.96835845376456
0.81144000000000	0.96834711030596
0.81148000000000	0.96833576024826
0.81152000000000	0.96832440358634
0.81156000000000	0.96831304031509
0.81160000000000	0.96830167042936
0.81164000000000	0.96829029392403
0.81168000000000	0.96827891079397
0.81172000000000	0.96826752103402
0.81176000000000	0.96825612463904
0.81180000000000	0.96824472160388
0.81184000000000	0.96823331192338
0.81188000000000	0.96822189559238
0.81192000000000	0.96821047260571
0.81196000000000	0.96819904295819
0.81200000000000	0.96818760664466
0.81204000000000	0.96817616365992
0.81208000000000	0.96816471399880
0.81212000000000	0.96815325765609
0.81216000000000	0.96814179462660
0.81220000000000	0.96813032490512
0.81224000000000	0.96811884848646
0.81228000000000	0.96810736536539
0.81232000000000	0.96809587553671
0.81236000000000	0.96808437899518
0.81240000000000	0.96807287573558
0.81244000000000	0.96806136575267
0.81248000000000	0.96804984904122
0.81252000000000	0.96803832559599
0.81256000000000	0.96802679541173
0.81260000000000	0.96801525848318
0.81264000000000	0.96800371480509
0.81268000000000	0.96799216437218
0.81272000000000	0.96798060717921
0.81276000000000	0.96796904322088
0.81280000000000	0.96795747249193
0.81284000000000	0.96794589498707
0.81288000000000	0.96793431070100
0.81292000000000	0.96792271962845
0.81296000000000	0.96791112176410
0.81300000000000	0.96789951710265
0.81304000000000	0.96788790563880
0.81308000000000	0.96787628736723
0.81312000000000	0.96786466228261
0.81316000000000	0.96785303037963
0.81320000000000	0.96784139165296
0.81324000000000	0.96782974609726
0.81328000000000	0.96781809370719
0.81332000000000	0.96780643447740
0.81336000000000	0.96779476840254
0.81340000000000	0.96778309547727
0.81344000000000	0.96777141569621
0.81348000000000	0.96775972905400
0.81352000000000	0.96774803554527
0.81356000000000	0.96773633516464
0.81360000000000	0.96772462790674
0.81364000000000	0.96771291376617
0.81368000000000	0.96770119273754
0.81372000000000	0.96768946481545
0.81376000000000	0.96767772999450
0.81380000000000	0.96766598826929
0.81384000000000	0.96765423963440
0.81388000000000	0.96764248408441
0.81392000000000	0.96763072161389
0.81396000000000	0.96761895221742
0.81400000000000	0.96760717588957
0.81404000000000	0.96759539262489
0.81408000000000	0.96758360241794
0.81412000000000	0.96757180526327
0.81416000000000	0.96756000115542
0.81420000000000	0.96754819008893
0.81424000000000	0.96753637205833
0.81428000000000	0.96752454705817
0.81432000000000	0.96751271508294
0.81436000000000	0.96750087612719
0.81440000000000	0.96748903018541
0.81444000000000	0.96747717725211
0.81448000000000	0.96746531732180
0.81452000000000	0.96745345038897
0.81456000000000	0.96744157644812
0.81460000000000	0.96742969549372
0.81464000000000	0.96741780752026
0.81468000000000	0.96740591252222
0.81472000000000	0.96739401049406
0.81476000000000	0.96738210143024
0.81480000000000	0.96737018532523
0.81484000000000	0.96735826217348
0.81488000000000	0.96734633196944
0.81492000000000	0.96733439470754
0.81496000000000	0.96732245038223
0.81500000000000	0.96731049898794
0.81504000000000	0.96729854051909
0.81508000000000	0.96728657497010
0.81512000000000	0.96727460233539
0.81516000000000	0.96726262260937
0.81520000000000	0.96725063578645
0.81524000000000	0.96723864186101
0.81528000000000	0.96722664082746
0.81532000000000	0.96721463268018
0.81536000000000	0.96720261741356
0.81540000000000	0.96719059502196
0.81544000000000	0.96717856549977
0.81548000000000	0.96716652884134
0.81552000000000	0.96715448504105
0.81556000000000	0.96714243409323
0.81560000000000	0.96713037599225
0.81564000000000	0.96711831073244
0.81568000000000	0.96710623830815
0.81572000000000	0.96709415871370
0.81576000000000	0.96708207194343
0.81580000000000	0.96706997799165
0.81584000000000	0.96705787685267
0.81588000000000	0.96704576852082
0.81592000000000	0.96703365299039
0.81596000000000	0.96702153025569
0.81600000000000	0.96700940031100
0.81604000000000	0.96699726315062
0.81608000000000	0.96698511876882
0.81612000000000	0.96697296715989
0.81616000000000	0.96696080831809
0.81620000000000	0.96694864223769
0.81624000000000	0.96693646891295
0.81628000000000	0.96692428833813
0.81632000000000	0.96691210050746
0.81636000000000	0.96689990541520
0.81640000000000	0.96688770305558
0.81644000000000	0.96687549342284
0.81648000000000	0.96686327651119
0.81652000000000	0.96685105231486
0.81656000000000	0.96683882082806
0.81660000000000	0.96682658204500
0.81664000000000	0.96681433595989
0.81668000000000	0.96680208256692
0.81672000000000	0.96678982186029
0.81676000000000	0.96677755383417
0.81680000000000	0.96676527848275
0.81684000000000	0.96675299580020
0.81688000000000	0.96674070578070
0.81692000000000	0.96672840841839
0.81696000000000	0.96671610370745
0.81700000000000	0.96670379164203
0.81704000000000	0.96669147221626
0.81708000000000	0.96667914542429
0.81712000000000	0.96666681126025
0.81716000000000	0.96665446971827
0.81720000000000	0.96664212079247
0.81724000000000	0.96662976447697
0.81728000000000	0.96661740076588
0.81732000000000	0.96660502965331
0.81736000000000	0.96659265113334
0.81740000000000	0.96658026520009
0.81744000000000	0.96656787184763
0.81748000000000	0.96655547107004
0.81752000000000	0.96654306286141
0.81756000000000	0.96653064721580
0.81760000000000	0.96651822412727
0.81764000000000	0.96650579358989
0.81768000000000	0.96649335559770
0.81772000000000	0.96648091014475
0.81776000000000	0.96646845722508
0.81780000000000	0.96645599683274
0.81784000000000	0.96644352896173
0.81788000000000	0.96643105360610
0.81792000000000	0.96641857075985
0.81796000000000	0.96640608041700
0.81800000000000	0.96639358257154
0.81804000000000	0.96638107721749
0.81808000000000	0.96636856434883
0.81812000000000	0.96635604395955
0.81816000000000	0.96634351604363
0.81820000000000	0.96633098059504
0.81824000000000	0.96631843760776
0.81828000000000	0.96630588707575
0.81832000000000	0.96629332899297
0.81836000000000	0.96628076335336
0.81840000000000	0.96626819015087
0.81844000000000	0.96625560937945
0.81848000000000	0.96624302103301
0.81852000000000	0.96623042510550
0.81856000000000	0.96621782159084
0.81860000000000	0.96620521048292
0.81864000000000	0.96619259177568
0.81868000000000	0.96617996546301
0.81872000000000	0.96616733153880
0.81876000000000	0.96615468999694
0.81880000000000	0.96614204083133
0.81884000000000	0.96612938403584
0.81888000000000	0.96611671960435
0.81892000000000	0.96610404753071
0.81896000000000	0.96609136780879
0.81900000000000	0.96607868043245
0.81904000000000	0.96606598539553
0.81908000000000	0.96605328269187
0.81912000000000	0.96604057231531
0.81916000000000	0.96602785425968
0.81920000000000	0.96601512851880
0.81924000000000	0.96600239508650
0.81928000000000	0.96598965395657
0.81932000000000	0.96597690512284
0.81936000000000	0.96596414857908
0.81940000000000	0.96595138431911
0.81944000000000	0.96593861233670
0.81948000000000	0.96592583262564
0.81952000000000	0.96591304517969
0.81956000000000	0.96590024999264
0.81960000000000	0.96588744705823
0.81964000000000	0.96587463637022
0.81968000000000	0.96586181792237
0.81972000000000	0.96584899170841
0.81976000000000	0.96583615772209
0.81980000000000	0.96582331595713
0.81984000000000	0.96581046640726
0.81988000000000	0.96579760906619
0.81992000000000	0.96578474392764
0.81996000000000	0.96577187098531
0.82000000000000	0.96575899023291
0.82004000000000	0.96574610166411
0.82008000000000	0.96573320527262
0.82012000000000	0.96572030105211
0.82016000000000	0.96570738899625
0.82020000000000	0.96569446909872
0.82024000000000	0.96568154135316
0.82028000000000	0.96566860575325
0.82032000000000	0.96565566229262
0.82036000000000	0.96564271096491
0.82040000000000	0.96562975176377
0.82044000000000	0.96561678468283
0.82048000000000	0.96560380971570
0.82052000000000	0.96559082685600
0.82056000000000	0.96557783609734
0.82060000000000	0.96556483743333
0.82064000000000	0.96555183085756
0.82068000000000	0.96553881636363
0.82072000000000	0.96552579394511
0.82076000000000	0.96551276359559
0.82080000000000	0.96549972530864
0.82084000000000	0.96548667907782
0.82088000000000	0.96547362489669
0.82092000000000	0.96546056275880
0.82096000000000	0.96544749265770
0.82100000000000	0.96543441458694
0.82104000000000	0.96542132854003
0.82108000000000	0.96540823451051
0.82112000000000	0.96539513249189
0.82116000000000	0.96538202247770
0.82120000000000	0.96536890446143
0.82124000000000	0.96535577843659
0.82128000000000	0.96534264439666
0.82132000000000	0.96532950233515
0.82136000000000	0.96531635224552
0.82140000000000	0.96530319412125
0.82144000000000	0.96529002795581
0.82148000000000	0.96527685374266
0.82152000000000	0.96526367147525
0.82156000000000	0.96525048114704
0.82160000000000	0.96523728275145
0.82164000000000	0.96522407628193
0.82168000000000	0.96521086173191
0.82172000000000	0.96519763909480
0.82176000000000	0.96518440836401
0.82180000000000	0.96517116953297
0.82184000000000	0.96515792259506
0.82188000000000	0.96514466754368
0.82192000000000	0.96513140437223
0.82196000000000	0.96511813307408
0.82200000000000	0.96510485364260
0.82204000000000	0.96509156607116
0.82208000000000	0.96507827035313
0.82212000000000	0.96506496648186
0.82216000000000	0.96505165445070
0.82220000000000	0.96503833425298
0.82224000000000	0.96502500588204
0.82228000000000	0.96501166933122
0.82232000000000	0.96499832459382
0.82236000000000	0.96498497166317
0.82240000000000	0.96497161053257
0.82244000000000	0.96495824119532
0.82248000000000	0.96494486364471
0.82252000000000	0.96493147787403
0.82256000000000	0.96491808387657
0.82260000000000	0.96490468164559
0.82264000000000	0.96489127117437
0.82268000000000	0.96487785245615
0.82272000000000	0.96486442548420
0.82276000000000	0.96485099025176
0.82280000000000	0.96483754675207
0.82284000000000	0.96482409497836
0.82288000000000	0.96481063492385
0.82292000000000	0.96479716658177
0.82296000000000	0.96478368994533
0.82300000000000	0.96477020500772
0.82304000000000	0.96475671176216
0.82308000000000	0.96474321020183
0.82312000000000	0.96472970031991
0.82316000000000	0.96471618210958
0.82320000000000	0.96470265556402
0.82324000000000	0.96468912067638
0.82328000000000	0.96467557743982
0.82332000000000	0.96466202584749
0.82336000000000	0.96464846589253
0.82340000000000	0.96463489756808
0.82344000000000	0.96462132086727
0.82348000000000	0.96460773578322
0.82352000000000	0.96459414230904
0.82356000000000	0.96458054043784
0.82360000000000	0.96456693016272
0.82364000000000	0.96455331147678
0.82368000000000	0.96453968437309
0.82372000000000	0.96452604884475
0.82376000000000	0.96451240488482
0.82380000000000	0.96449875248636
0.82384000000000	0.96448509164244
0.82388000000000	0.96447142234611
0.82392000000000	0.96445774459041
0.82396000000000	0.96444405836838
0.82400000000000	0.96443036367304
0.82404000000000	0.96441666049743
0.82408000000000	0.96440294883455
0.82412000000000	0.96438922867742
0.82416000000000	0.96437550001904
0.82420000000000	0.96436176285239
0.82424000000000	0.96434801717047
0.82428000000000	0.96433426296626
0.82432000000000	0.96432050023273
0.82436000000000	0.96430672896285
0.82440000000000	0.96429294914957
0.82444000000000	0.96427916078585
0.82448000000000	0.96426536386463
0.82452000000000	0.96425155837884
0.82456000000000	0.96423774432142
0.82460000000000	0.96422392168530
0.82464000000000	0.96421009046337
0.82468000000000	0.96419625064856
0.82472000000000	0.96418240223376
0.82476000000000	0.96416854521186
0.82480000000000	0.96415467957576
0.82484000000000	0.96414080531833
0.82488000000000	0.96412692243244
0.82492000000000	0.96411303091096
0.82496000000000	0.96409913074674
0.82500000000000	0.96408522193264
0.82504000000000	0.96407130446150
0.82508000000000	0.96405737832614
0.82512000000000	0.96404344351940
0.82516000000000	0.96402950003411
0.82520000000000	0.96401554786306
0.82524000000000	0.96400158699908
0.82528000000000	0.96398761743495
0.82532000000000	0.96397363916346
0.82536000000000	0.96395965217741
0.82540000000000	0.96394565646956
0.82544000000000	0.96393165203269
0.82548000000000	0.96391763885956
0.82552000000000	0.96390361694291
0.82556000000000	0.96388958627551
0.82560000000000	0.96387554685007
0.82564000000000	0.96386149865935
0.82568000000000	0.96384744169605
0.82572000000000	0.96383337595291
0.82576000000000	0.96381930142261
0.82580000000000	0.96380521809788
0.82584000000000	0.96379112597140
0.82588000000000	0.96377702503586
0.82592000000000	0.96376291528394
0.82596000000000	0.96374879670830
0.82600000000000	0.96373466930162
0.82604000000000	0.96372053305654
0.82608000000000	0.96370638796573
0.82612000000000	0.96369223402181
0.82616000000000	0.96367807121743
0.82620000000000	0.96366389954521
0.82624000000000	0.96364971899777
0.82628000000000	0.96363552956771
0.82632000000000	0.96362133124765
0.82636000000000	0.96360712403017
0.82640000000000	0.96359290790787
0.82644000000000	0.96357868287332
0.82648000000000	0.96356444891911
0.82652000000000	0.96355020603779
0.82656000000000	0.96353595422192
0.82660000000000	0.96352169346405
0.82664000000000	0.96350742375672
0.82668000000000	0.96349314509247
0.82672000000000	0.96347885746383
0.82676000000000	0.96346456086331
0.82680000000000	0.96345025528342
0.82684000000000	0.96343594071668
0.82688000000000	0.96342161715556
0.82692000000000	0.96340728459257
0.82696000000000	0.96339294302018
0.82700000000000	0.96337859243086
0.82704000000000	0.96336423281708
0.82708000000000	0.96334986417130
0.82712000000000	0.96333548648597
0.82716000000000	0.96332109975352
0.82720000000000	0.96330670396639
0.82724000000000	0.96329229911700
0.82728000000000	0.96327788519778
0.82732000000000	0.96326346220113
0.82736000000000	0.96324903011946
0.82740000000000	0.96323458894516
0.82744000000000	0.96322013867061
0.82748000000000	0.96320567928819
